date,complaint,username,nlikes,issue_type,company
9/12/2020 14:50,@Uber_Support Hello. I would like to file a complaint for the food I received last night. Is there a phone # I can call or can you guys help me out? Please help. Thank you,KisssMyJAZZ_,0,Driver,uber
9/12/2020 12:40,The causual contempt they have for this officer should be contrasted with videos of the uber-polite and compliant of POC for all those who deny there is white privilege and unequal treatment. It’s blood boiling.,rubybeemagic,0,Driver,uber
9/12/2020 12:22,"Hi
Your support keep avoiding deleting the account, so I've decided to raise a complaint for GDPR breach.
Unless you want to actually do something about it?",DaddyMightyZim,0,Driver,uber
9/12/2020 12:08,@Uber_Support @UberINSupport I strongly believe that the same was initiated by him due to the fact that I complained to him about the lack of cooling of the his vehicle and the level of dirt inside the car. I had also lodged the same complaint whilst rati,shahsamirs,1,Driver,uber
9/12/2020 11:54,"The prop 22 in CA to support the 'gig worker' uber drivers is very  absurd mask compliant propaganda. Which is absurd because anyone self employed knows that Uber Corp could not dictate masks if their drivers are not employees🙄🚗
 https://yeson22.com/ 
 https://youtu.be/PgE7_JltsXg  pic.twitter.com/2aKaYQbgoJ",Victor47502531,0,Driver,uber
9/12/2020 10:07,@Uber_Support at what time in this lifetime will you respond to my complaint !??,ZoeyArose,0,Driver,uber
9/12/2020 5:59,"@UberUKsupport you’re refusing to look into my complaint but I told the driver his route was way wrong, and his reply was - complain to Uber , I am not from around here I’m following the app, when I asked him to change the route twice he refused sayin",staceycanarslan,1,Driver,uber
9/12/2020 4:51,@Uber_India would be able to look into this? I am not able to complaint on the app because the ride is older than 3 months,aishu_mohan17,0,Driver,uber
9/12/2020 4:02,@Uber_Support How can I file a complaint? My food arrived 1 1/2 hours after I ordered and it was already cold,RomeroNellie,0,Driver,uber
9/12/2020 3:30,"WOMAN ACCUSED OF STABBING BOYFRIEND IN UBER: According to a criminal complaint, the couple was arguing for the majority of the car ride. Right before arriving, the victim yelled out ""What did you hit me with?” He later noticed he was bleeding.  https://www.channel3000.com/la-crosse-woman-accused-of-stabbing-boyfriend-in-uber/ …",WISCTV_News3,0,Driver,uber
9/11/2020 21:52,First off I know for a fact imma place a complaint on Uber eats for this hibachi dinner I just ordered bc if they don’t put the extra sauce that I paid for in my bag. I’m claiming it as they got My order wrong 🤷🏻‍♀️ watch,korineeeee,0,Driver,uber
9/11/2020 20:28,"@Uber_Support My order took 2 hours for delivery. Arrived barely warm and obviously wasn’t fresh. The app won’t let me submit a complaint without taking a picture, but I can’t take a picture. How can I raise a complaint? I would appreciate some comp",ttbarnes,0,Driver,uber
9/11/2020 19:49,"My understanding is that Uber and Lift do not allow polarizing bumper stickers on cars approved for use. You should have taken photos and sent them to Uber. As it is, you could lodge a complaint.",latenig89476392,0,Driver,uber
9/11/2020 19:38,.@Uber_Support I have a complaint. You took payment from me twice. It has not been resolved  even though I sent you bank statement evidence that 2 payments went out. You keep telling me it’s a holding amount & no money was taken. This is not true.,mishibubs,0,Driver,uber
9/11/2020 18:34,@UberUKsupport Uber customer service does not honour the claimed discount code and suggested that it is expired while it is still shown my app as active. I asked for a complaint method and they refused to give me any details. Could you help me sort it out,roykong273,1,Driver,uber
9/11/2020 18:23,"Nope, you were not wrong. Although I would have went a step or two further.. give the driver a poor rating then contact uber to file a complaint.",3LadiJ,0,Driver,uber
9/11/2020 18:09,"I would have taken the ride and if you said nothing, perfect! If he started talking about Trump, I would have immediately registered a complaint with Uber that he was politically proselytizing while on the job. You would have gotten to where you wanted to go and felt much better.",FrankNHollywood,0,Driver,uber
9/11/2020 17:54,No. —The fool shouldn’t have had anything even remotely political outside or inside his car‼️You should file a complaint w/Uber!,M63rl,0,Driver,uber
9/11/2020 15:27,@Uber_Support why is it so hard to find a contact number to make a complaint!?!  Can i get the number please?,Shan_da927,0,Driver,uber
9/11/2020 13:42,"No, you weren't,  and I hope you filed a complaint with Uber. Was he wearing a mask?",myawsum18,1,Driver,uber
9/11/2020 13:15,I’ve already filed the complaint via the app and when I received no assistance for 24 hours I deleted my app cuz I don’t want to spend money to be disappointed by the app anymore,Pikehc,0,Driver,uber
9/11/2020 12:19,@UberUKsupport How would i make a complaint. I placed an order 2 hours ago on uber eats. only for it to be cancelled after was due to be delivered. I call the Restaurant to be told They haven't got the machine on and haven't for 2 weeks how can you take o,daddoesitright,1,Driver,uber
9/11/2020 9:46,"@Uber_Support hiya, I just put a complaint in via the Uber eats app however I feel that the complaint that I put in does not justify the amount of damaged caused, my drinks from my order have been destroyed, and went everywhere after the driver put them i",8BitQueers,0,Driver,uber
9/11/2020 9:05,File a complaint with @Uber,GuntherGill,2,Driver,uber
9/11/2020 3:20,"Useless DM, you still not doing anything about my complaint on that DM.",sbudash01,0,Driver,uber
9/11/2020 2:17,Take the ride. Zero tip. Cite the reasons in your written complaint  to uber.,Mark_K_McQ,0,Driver,uber
9/11/2020 1:14,"I didn’t enjoy the slower recovery from injuries, that’s my only complaint.",UberTenebra,1,Driver,uber
9/10/2020 23:47,@Uber #uberfleet  i have a raised a compliant related to unable to login in uber driver app some issue in my aap duplicate account create i have raised a compeliant last 8 dasys but not respond tech team in my concern #traviskalanick please help me #uber ,Daljit_singh7,0,Driver,uber
9/10/2020 22:43,You can't screw it up for everyone just cause you like not having any benefits and always can be deactivated for no reason over a false complaint and not have any unemployment benefits.,AB5isGreat,1,Driver,uber
9/10/2020 22:41,okay it may be real where is the car licence plate why didnt she Complaint or atleast she should put his car licence on video or an actual proof that its an uber or any thing not just this video it could be framed or it could be real we need proof,warraich1999,1,Driver,uber
9/10/2020 19:18,Please file a complaint on  http://www.BBB.org  and we'll do our best to help.,bbb_us,1,Driver,uber
9/10/2020 17:53,@Uber_India #complaint.in my last ride driver drop off me far away from my destination and demanded extra money to drop at exact location.also abuses and dropped me at 11:00 pm at very unsafe place. My ride cash mode. I didn't pay money . Very disappointe,ravi2009je0057,0,Driver,uber
9/10/2020 16:33,"@Uber_Support @UberEats just got a response from support apologizing for the delay in my order arriving. Wtf are y’all talking about. That was never even a complaint of mine. If anyone has a phone number to Uber’s claims department, it would be apprec",JenJen517,0,Driver,uber
7/16/2020 16:41,"Cookies and cream countertops, custom cabinets and brass accents...kitchen dreams do come true. #DiscoverPersonalLoans #ad  https://www.bhg.com/featured/KitchenRenovationProjectDiscoverPersonalLoans2020?sm_r=terZVD … pic.twitter.com/aWWCkH0RnF",BHG,122,Driver,uber
9/10/2020 14:17,"The whistleblowers sworn complaint is ‘fake news’? 

What parts are fake and what is your basis for suggesting it?",Juliess31,1,Driver,uber
9/10/2020 13:34,Misclassification results in a myriad of worker abuses. You hear a lot about Uber and Lyft. Read this story about a new complaint our team @public_rights filed to combat sexual assault and harassment of Handy workers. #AB5 https://www.nytimes.com/2020/09/10/business/handy-service-cleaners-harassment.html …,_millerjon,16,Driver,uber
9/10/2020 12:31,Sent you mob no. In dm kindly check also raised complaint immediately through uber app,vinay7447,0,Driver,uber
9/10/2020 11:55,I think Uber not took my complaint seriously.,bhuwan_Ks,0,Driver,uber
9/10/2020 9:10,Was just in an Uber and the driver got a phone call from the taxi licensing service telling him about a complaint made against him for using his phone while driving 🤣🤣🤣 state of it,connorjl_,5,Driver,uber
9/10/2020 3:37,"Awesome! My only complaint is theres no compass or minimap you have a ""sense"" you have to activate which makes tracking teammates in multiplayer tedious",SadBoyUber,1,Driver,uber
9/10/2020 3:27,@Uber_Support I received an order tonight and tried to handle it through the app. But couldn't even put all that was wrong with it and only got to put the one missing item in. How do I handle the rest of my complaint? This order was all kinds of messed up,AngrySquid,1,Driver,uber
9/10/2020 1:58,@Uber_Support FYI. I will be filing a complaint with the BBB and the state attorneys office since your customer service refuse to refund $2.79 for an item not received.,mnmburr,1,Driver,uber
9/10/2020 0:58,Is customers money is as good as the next person so if I complaint you should be complaining about it @UberEats @Uber_Support so because @bostonmarket left out my order that’s just a loss for me and still a win for you mannn y’all can go to hell,Wannie777,0,Driver,uber
9/10/2020 0:00,still think i’ll be filing a complaint w this uber driver tbh 😔!!,miyuuns,0,Driver,uber
9/9/2020 22:28,"@UberEats  
Maybe actually read my complaint:
 https://twitter.com/J30892077/status/1297687619653050368 …
I am awaiting your call; have been for weeks now.",J30892077,0,Driver,uber
9/9/2020 22:28,"@UberEats This is ridiculous. Did you read the nature of my complaint? My entire point in reaching out and tweeting is that I want to discuss my issue over the phone, because WEEKS of emails and written back and forth have not resolved it. Consider your i",J30892077,0,Driver,uber
9/9/2020 20:31,"Hey, if you haven't already, post your complaint here so we can amplify it further:  http://app.shieldvoc.com/file-a-complaint/uber/1303527433510019074 …",ShieldVoC,0,Driver,uber
9/9/2020 20:29,"Hey, if you haven't already, post your complaint here so we can amplify it further:  http://app.shieldvoc.com/file-a-complaint/uber/1303536510902304768 …",ShieldVoC,0,Driver,uber
9/9/2020 19:29,Your website is useless. It just keeps opening new windows and won’t let me submit my complaint. Everyone in #Amman knows some @Uber drivers rip us off but @Uber_Support does nothing.,AndyJBatt,1,Driver,uber
9/9/2020 18:42,This is different - only the UBER rich will survive - I believe our only hope lies in the hackers who can trick the machines everywhere to read our implanted chips and fool the machine into thinking the person has been vaccinated and is compliant,spoonful44,0,Driver,uber
9/9/2020 17:10,"@Uber_Support I think it is unbelievable that Uber did not have the courtesy to respond to my complaint, but simply made a credit without any explanation of driver theft or an apology.",b183e80f8e254f5,0,Driver,uber
9/9/2020 13:16,"Send in a formal complaint. @uber will investigate and upon verdict, send refund as remedy.",rbabanksoleprop,1,Driver,uber
9/9/2020 12:59,@Uber_Support I need help with something and need to submit a complaint to Uber. PLEASE RESPOND TO ME,KStevens_1993,0,Driver,uber
